Seja,Delovno telo,Tip,Datum
12. redna seja, Komisija za odnose s Slovenci v zamejstvu in po svetu ,Seja,7. 7. 2020
82. redna seja, Odbor za zadeve Evropske unije ,Seja,7. 7. 2020
22. nujna seja, Odbor za gospodarstvo ,Seja,6. 7. 2020
43. nujna seja, Odbor za finance ,Seja,6. 7. 2020
41. nujna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,6. 7. 2020
3. nujna seja, Komisija za narodni skupnosti ,Seja,3. 7. 2020
17. nujna seja, Preiskovalna komisija o ugotavljanju zlorab v zadevi Franc Kangler in drugi ,Seja,3. 7. 2020
80. redna seja, Odbor za zadeve Evropske unije ,Seja,3. 7. 2020
20. nujna seja, Odbor za pravosodje ,Seja,3. 7. 2020
21. nujna seja," Odbor za kmetijstvo, gozdarstvo in prehrano ",Seja,3. 7. 2020
5. nujna seja," Komisija za peticije, človekove pravice in enake možnosti ",Seja,2. 7. 2020
12. redna seja, Komisija za nadzor javnih financ ,Seja,2. 7. 2020
12. nujna seja, Preiskovalna komisija o ugotavljanju zlorab in negospodarnega ravnanja v DUTB ,Seja,2. 7. 2020
22. redna seja, Mandatno-volilna komisija ,Seja,2. 7. 2020
19. redna seja," Odbor za kmetijstvo, gozdarstvo in prehrano ",Seja,1. 7. 2020
18. redna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,1. 7. 2020
63. redna seja, Odbor za zunanjo politiko ,Seja,1. 7. 2020
9. redna seja, Odbor za gospodarstvo ,Seja,30. 6. 2020
26. nujna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,29. 6. 2020
12. redna seja," Odbor za izobraževanje, znanost, šport in mladino ",Seja,29. 6. 2020
17. redna seja, Odbor za pravosodje ,Seja,24. 6. 2020
23. redna seja, Odbor za finance ,Seja,24. 6. 2020
16. nujna seja, (skupna seja) Odbor za obrambo ,Seja,23. 6. 2020
38. nujna seja, (skupna seja) Odbor za zdravstvo ,Seja,23. 6. 2020
79. redna seja, Odbor za zadeve Evropske unije ,Seja,23. 6. 2020
42. nujna seja, Odbor za finance ,Seja,19. 6. 2020
41. nujna seja, Odbor za finance ,Seja,12. 6. 2020
21. nujna seja, (skupna seja) Odbor za kulturo ,Seja,12. 6. 2020
23. nujna seja," (skupna seja) Odbor za izobraževanje, znanost, šport in mladino ",Seja,12. 6. 2020
78. redna seja, Odbor za zadeve Evropske unije ,Seja,12. 6. 2020
11. nujna seja, Preiskovalna komisija o ugotavljanju zlorab in negospodarnega ravnanja v DUTB ,Seja,11. 6. 2020
21. redna seja, Mandatno-volilna komisija ,Seja,11. 6. 2020
61. redna seja, (skupna seja) Odbor za zunanjo politiko ,Seja,10. 6. 2020
9. redna seja, (skupna seja) Odbor za obrambo ,Seja,10. 6. 2020
8. redna seja, Odbor za kulturo ,Seja,10. 6. 2020
62. redna seja, Odbor za zunanjo politiko ,Seja,10. 6. 2020
16. nujna seja, Preiskovalna komisija o ugotavljanju zlorab v zadevi Franc Kangler in drugi ,Seja,10. 6. 2020
9. redna seja, Pododbor za spremljanje romske tematike ,Seja,10. 6. 2020
37. nujna seja, (skupna seja) Odbor za zdravstvo ,Seja,9. 6. 2020
40. nujna seja," (skupna seja) Odbor za delo, družino, socialne zadeve in invalide ",Seja,9. 6. 2020
11. redna seja, Komisija za odnose s Slovenci v zamejstvu in po svetu ,Seja,9. 6. 2020
77. redna seja, Odbor za zadeve Evropske unije ,Seja,5. 6. 2020
22. redna seja, (skupna seja) Odbor za finance ,Seja,4. 6. 2020
8. redna seja, (skupna seja) Odbor za gospodarstvo ,Seja,4. 6. 2020
8. redna seja, Odbor za zdravstvo ,Seja,4. 6. 2020
7. redna seja, Odbor za kulturo ,Seja,4. 6. 2020
19. nujna seja, Komisija za nadzor javnih financ ,Seja,4. 6. 2020
16. redna seja, Odbor za pravosodje ,Seja,3. 6. 2020
21. redna seja, Odbor za finance ,Seja,3. 6. 2020
17. redna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,3. 6. 2020
18. redna seja," Odbor za kmetijstvo, gozdarstvo in prehrano ",Seja,3. 6. 2020
16. nujna seja, (skupna seja) Odbor za zadeve Evropske unije ,Seja,3. 6. 2020
21. nujna seja, (skupna seja) Odbor za zunanjo politiko ,Seja,3. 6. 2020
18. nujna seja, Komisija za nadzor javnih financ ,Seja,2. 6. 2020
21. nujna seja, (skupna seja) Odbor za gospodarstvo ,Seja,2. 6. 2020
18. redna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,2. 6. 2020
19. redna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,2. 6. 2020
20. nujna seja, (skupna seja) Odbor za kulturo ,Seja,2. 6. 2020
36. nujna seja, Odbor za zdravstvo ,Seja,1. 6. 2020
25. nujna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,1. 6. 2020
35. nujna seja, Odbor za zdravstvo ,Seja,1. 6. 2020
15. redna seja, Odbor za pravosodje ,Seja,29. 5. 2020
16. redna seja, Preiskovalna komisija o ugotavljanju odgovornosti nosilcev javnih funkcij na programu otroške kardiologije ter področju nabav in upravljanja z medicinsko opremo in zdravstvenim materialom ,Seja,29. 5. 2020
40. nujna seja, Odbor za finance ,Seja,28. 5. 2020
30. nujna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,28. 5. 2020
15. nujna seja, Preiskovalna komisija o ugotavljanju zlorab v zadevi Franc Kangler in drugi ,Seja,27. 5. 2020
7. redna seja, Komisija za poslovnik ,Seja,26. 5. 2020
39. nujna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,26. 5. 2020
76. redna seja, Odbor za zadeve Evropske unije ,Seja,22. 5. 2020
23. redna seja, Komisija za nadzor obveščevalnih in varnostnih služb ,Seja,22. 5. 2020
19. nujna seja, Odbor za kulturo ,Seja,22. 5. 2020
38. nujna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,22. 5. 2020
22. redna seja, Komisija za nadzor obveščevalnih in varnostnih služb ,Seja,21. 5. 2020
20. redna seja, Mandatno-volilna komisija ,Seja,21. 5. 2020
60. redna seja, Odbor za zunanjo politiko ,Seja,20. 5. 2020
39. nujna seja, Odbor za finance ,Seja,20. 5. 2020
14. redna seja, Odbor za pravosodje ,Seja,20. 5. 2020
24. nujna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,19. 5. 2020
18. nujna seja, Odbor za kulturo ,Seja,19. 5. 2020
14. nujna seja, Odbor za obrambo ,Seja,18. 5. 2020
15. nujna seja, Odbor za obrambo ,Seja,18. 5. 2020
11. redna seja," Odbor za izobraževanje, znanost, šport in mladino ",Seja,13. 5. 2020
7. redna seja, Odbor za zdravstvo ,Seja,12. 5. 2020
34. nujna seja, Odbor za zdravstvo ,Seja,12. 5. 2020
17. redna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,12. 5. 2020
17. nujna seja, (skupna seja) Komisija za nadzor javnih financ ,Seja,8. 5. 2020
23. nujna seja," (skupna seja) Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,8. 5. 2020
20. nujna seja, Odbor za gospodarstvo ,Seja,8. 5. 2020
17. nujna seja, Odbor za kulturo ,Seja,6. 5. 2020
38. nujna seja, Odbor za finance ,Seja,6. 5. 2020
16. nujna seja, Komisija za nadzor javnih financ ,Seja,5. 5. 2020
22. nujna seja," Odbor za izobraževanje, znanost, šport in mladino ",Seja,30. 4. 2020
18. nujna seja, Mandatno-volilna komisija ,Seja,28. 4. 2020
37. nujna seja, Odbor za finance ,Seja,24. 4. 2020
19. nujna seja, Odbor za pravosodje ,Seja,23. 4. 2020
20. nujna seja," Odbor za kmetijstvo, gozdarstvo in prehrano ",Seja,23. 4. 2020
29. nujna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,23. 4. 2020
33. nujna seja, (skupna seja) Odbor za zdravstvo ,Seja,22. 4. 2020
22. nujna seja," (skupna seja) Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,22. 4. 2020
31. nujna seja, Odbor za zdravstvo ,Seja,21. 4. 2020
32. nujna seja, Odbor za zdravstvo ,Seja,21. 4. 2020
17. nujna seja, Mandatno-volilna komisija ,Seja,21. 4. 2020
16. nujna seja, (skupna seja) Odbor za kulturo ,Seja,14. 4. 2020
20. nujna seja, (skupna seja) Odbor za zunanjo politiko ,Seja,14. 4. 2020
21. nujna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,7. 4. 2020
5. nujna seja, Komisija za poslovnik ,Seja,7. 4. 2020
16. nujna seja, Mandatno-volilna komisija ,Seja,2. 4. 2020
13. nujna seja, Odbor za obrambo ,Seja,1. 4. 2020
15. nujna seja, Mandatno-volilna komisija ,Seja,1. 4. 2020
36. nujna seja, Odbor za finance ,Seja,31. 3. 2020
12. nujna seja, Mandatno-volilna komisija ,Seja,19. 3. 2020
8. nujna seja, Preiskovalna komisija o ugotavljanju odgovornosti nosilcev javnih funkcij na programu otroške kardiologije ter področju nabav in upravljanja z medicinsko opremo in zdravstvenim materialom ,Seja,19. 3. 2020
14. nujna seja, Mandatno-volilna komisija ,Seja,19. 3. 2020
35. nujna seja, Odbor za finance ,Seja,19. 3. 2020
59. redna seja, Odbor za zunanjo politiko ,Seja,18. 3. 2020
37. nujna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,18. 3. 2020
13. nujna seja, Mandatno-volilna komisija ,Seja,18. 3. 2020
18. nujna seja, Odbor za pravosodje ,Seja,18. 3. 2020
19. nujna seja," Odbor za kmetijstvo, gozdarstvo in prehrano ",Seja,18. 3. 2020
10. redna seja, Preiskovalna komisija o ugotavljanju zlorab v zadevi Franc Kangler in drugi ,Seja,16. 3. 2020
7. nujna seja, Preiskovalna komisija o ugotavljanju odgovornosti nosilcev javnih funkcij na programu otroške kardiologije ter področju nabav in upravljanja z medicinsko opremo in zdravstvenim materialom ,Seja,13. 3. 2020
15. nujna seja, Odbor za kulturo ,Seja,13. 3. 2020
30. nujna seja, Odbor za zdravstvo ,Seja,13. 3. 2020
19. nujna seja, (skupna seja) Odbor za gospodarstvo ,Seja,13. 3. 2020
4. nujna seja, Komisija za odnose s Slovenci v zamejstvu in po svetu ,Seja,13. 3. 2020
15. nujna seja, (skupna seja) Odbor za zadeve Evropske unije ,Seja,13. 3. 2020
75. redna seja, Odbor za zadeve Evropske unije ,Seja,13. 3. 2020
16. redna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,12. 3. 2020
17. nujna seja, Odbor za pravosodje ,Seja,12. 3. 2020
28. nujna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,12. 3. 2020
21. nujna seja," Odbor za izobraževanje, znanost, šport in mladino ",Seja,12. 3. 2020
18. nujna seja, Odbor za gospodarstvo ,Seja,12. 3. 2020
6. redna seja, Odbor za zdravstvo ,Seja,12. 3. 2020
20. redna seja, Odbor za finance ,Seja,11. 3. 2020
16. redna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,11. 3. 2020
18. nujna seja," Odbor za kmetijstvo, gozdarstvo in prehrano ",Seja,11. 3. 2020
20. nujna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,11. 3. 2020
34. nujna seja, Odbor za finance ,Seja,11. 3. 2020
18. redna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,10. 3. 2020
19. nujna seja, Odbor za zunanjo politiko ,Seja,10. 3. 2020
12. nujna seja, Odbor za obrambo ,Seja,10. 3. 2020
36. nujna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,10. 3. 2020
10. nujna seja, Preiskovalna komisija o ugotavljanju zlorab in negospodarnega ravnanja v DUTB ,Seja,6. 3. 2020
5. nujna seja," Preiskovalna komisija o ugotavljanju domnevnega pranja denarja v NKBM d.d., domnevnega nezakonitega financiranja politične stranke SDS in domnevnega nezakonitega financiranja volilne kampanje SDS za predčasne volitve poslancev v Državni zbor 2018 ",Seja,6. 3. 2020
74. redna seja, Odbor za zadeve Evropske unije ,Seja,6. 3. 2020
11. nujna seja, Mandatno-volilna komisija ,Seja,5. 3. 2020
9. redna seja, Preiskovalna komisija o ugotavljanju zlorab v zadevi Franc Kangler in drugi ,Seja,2. 3. 2020
8. redna seja, Preiskovalna komisija o ugotavljanju zlorab v zadevi Franc Kangler in drugi ,Seja,28. 2. 2020
73. redna seja, Odbor za zadeve Evropske unije ,Seja,28. 2. 2020
14. nujna seja, Odbor za kulturo ,Seja,27. 2. 2020
19. redna seja, Mandatno-volilna komisija ,Seja,27. 2. 2020
7. redna seja, Preiskovalna komisija o ugotavljanju zlorab v zadevi Franc Kangler in drugi ,Seja,26. 2. 2020
32. nujna seja, Odbor za finance ,Seja,26. 2. 2020
57. redna seja, Odbor za zunanjo politiko ,Seja,26. 2. 2020
21. redna seja, Komisija za nadzor obveščevalnih in varnostnih služb ,Seja,25. 2. 2020
14. nujna seja, Preiskovalna komisija o ugotavljanju zlorab v zadevi Franc Kangler in drugi ,Seja,25. 2. 2020
29. nujna seja, Odbor za zdravstvo ,Seja,25. 2. 2020
15. nujna seja, Komisija za nadzor javnih financ ,Seja,21. 2. 2020
58. redna seja, (skupna seja) Odbor za zunanjo politiko ,Seja,21. 2. 2020
72. redna seja, (skupna seja) Odbor za zadeve Evropske unije ,Seja,21. 2. 2020
27. nujna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,20. 2. 2020
15. redna seja, Preiskovalna komisija o ugotavljanju odgovornosti nosilcev javnih funkcij na programu otroške kardiologije ter področju nabav in upravljanja z medicinsko opremo in zdravstvenim materialom ,Seja,20. 2. 2020
9. redna seja," Preiskovalna komisija o ugotavljanju domnevnega pranja denarja v NKBM d.d., domnevnega nezakonitega financiranja politične stranke SDS in domnevnega nezakonitega financiranja volilne kampanje SDS za predčasne volitve poslancev v Državni zbor 2018 ",Seja,20. 2. 2020
17. redna seja," Odbor za kmetijstvo, gozdarstvo in prehrano ",Seja,19. 2. 2020
13. nujna seja, Odbor za kulturo ,Seja,19. 2. 2020
28. nujna seja, Odbor za zdravstvo ,Seja,19. 2. 2020
13. nujna seja, Preiskovalna komisija o ugotavljanju zlorab v zadevi Franc Kangler in drugi ,Seja,19. 2. 2020
11. redna seja, Komisija za nadzor javnih financ ,Seja,19. 2. 2020
12. nujna seja, Preiskovalna komisija o ugotavljanju zlorab v zadevi Franc Kangler in drugi ,Seja,19. 2. 2020
27. nujna seja, Odbor za zdravstvo ,Seja,18. 2. 2020
33. nujna seja, Odbor za finance ,Seja,18. 2. 2020
56. redna seja, (skupna seja) Odbor za zunanjo politiko ,Seja,14. 2. 2020
71. redna seja, (skupna seja) Odbor za zadeve Evropske unije ,Seja,14. 2. 2020
18. nujna seja, Odbor za zunanjo politiko ,Seja,14. 2. 2020
26. nujna seja, (skupna seja) Odbor za zdravstvo ,Seja,13. 2. 2020
31. nujna seja, (skupna seja) Odbor za finance ,Seja,13. 2. 2020
70. redna seja, (skupna seja) Odbor za zadeve Evropske unije ,Seja,13. 2. 2020
55. redna seja, Odbor za zunanjo politiko ,Seja,13. 2. 2020
16. redna seja," Odbor za kmetijstvo, gozdarstvo in prehrano ",Seja,13. 2. 2020
20. redna seja, Komisija za nadzor obveščevalnih in varnostnih služb ,Seja,13. 2. 2020
25. nujna seja," (skupna seja) Odbor za infrastrukturo, okolje in prostor ",Seja,13. 2. 2020
8. redna seja, Preiskovalna komisija o ugotavljanju zlorab in negospodarnega ravnanja v DUTB ,Seja,13. 2. 2020
26. nujna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,12. 2. 2020
54. redna seja, Odbor za zunanjo politiko ,Seja,12. 2. 2020
15. redna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,12. 2. 2020
19. nujna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,11. 2. 2020
19. redna seja, Odbor za finance ,Seja,11. 2. 2020
15. redna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,11. 2. 2020
7. redna seja, Odbor za gospodarstvo ,Seja,6. 2. 2020
13. redna seja, Odbor za pravosodje ,Seja,6. 2. 2020
35. nujna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,5. 2. 2020
8. redna seja, Odbor za obrambo ,Seja,5. 2. 2020
17. redna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,5. 2. 2020
20. nujna seja," Odbor za izobraževanje, znanost, šport in mladino ",Seja,4. 2. 2020
69. redna seja, Odbor za zadeve Evropske unije ,Seja,31. 1. 2020
18. nujna seja," (skupna seja) Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,30. 1. 2020
25. nujna seja, (skupna seja) Odbor za zdravstvo ,Seja,30. 1. 2020
24. nujna seja, Odbor za zdravstvo ,Seja,27. 1. 2020
9. redna seja," Komisija za peticije, človekove pravice in enake možnosti ",Seja,24. 1. 2020
53. redna seja, (skupna seja) Odbor za zunanjo politiko ,Seja,24. 1. 2020
68. redna seja, (skupna seja) Odbor za zadeve Evropske unije ,Seja,24. 1. 2020
2. redna seja, Pododbor za spremljanje rakavih obolenj v Republiki Sloveniji ,Seja,23. 1. 2020
10. redna seja, Komisija za odnose s Slovenci v zamejstvu in po svetu ,Seja,23. 1. 2020
4. nujna seja, Komisija za poslovnik ,Seja,23. 1. 2020
10. nujna seja, Odbor za kulturo ,Seja,23. 1. 2020
19. nujna seja," (skupna seja) Odbor za izobraževanje, znanost, šport in mladino ",Seja,23. 1. 2020
11. nujna seja, (skupna seja) Odbor za kulturo ,Seja,23. 1. 2020
6. redna seja, Preiskovalna komisija o ugotavljanju zlorab v zadevi Franc Kangler in drugi ,Seja,23. 1. 2020
18. redna seja, Mandatno-volilna komisija ,Seja,23. 1. 2020
11. nujna seja, (skupna seja) Odbor za obrambo ,Seja,22. 1. 2020
23. nujna seja, (skupna seja) Odbor za zdravstvo ,Seja,22. 1. 2020
18. nujna seja," Odbor za izobraževanje, znanost, šport in mladino ",Seja,22. 1. 2020
5. redna seja, Preiskovalna komisija o ugotavljanju zlorab v zadevi Franc Kangler in drugi ,Seja,22. 1. 2020
51. redna seja, Odbor za zunanjo politiko ,Seja,22. 1. 2020
7. redna seja, Pododbor za spremljanje romske tematike ,Seja,22. 1. 2020
50. redna seja, Odbor za zunanjo politiko ,Seja,22. 1. 2020
8. redna seja, Pododbor za spremljanje romske tematike ,Seja,22. 1. 2020
4. redna seja, Preiskovalna komisija o ugotavljanju zlorab v zadevi Franc Kangler in drugi ,Seja,21. 1. 2020
14. redna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,21. 1. 2020
3. redna seja, Preiskovalna komisija o ugotavljanju zlorab v zadevi Franc Kangler in drugi ,Seja,20. 1. 2020
4. nujna seja," Preiskovalna komisija o ugotavljanju domnevnega pranja denarja v NKBM d.d., domnevnega nezakonitega financiranja politične stranke SDS in domnevnega nezakonitega financiranja volilne kampanje SDS za predčasne volitve poslancev v Državni zbor 2018 ",Seja,20. 1. 2020
19. redna seja, Komisija za nadzor obveščevalnih in varnostnih služb ,Seja,17. 1. 2020
67. redna seja, (skupna seja) Odbor za zadeve Evropske unije ,Seja,17. 1. 2020
52. redna seja, (skupna seja) Odbor za zunanjo politiko ,Seja,17. 1. 2020
17. nujna seja, Odbor za zunanjo politiko ,Seja,16. 1. 2020
16. nujna seja, Odbor za pravosodje ,Seja,16. 1. 2020
9. nujna seja, Preiskovalna komisija o ugotavljanju zlorab in negospodarnega ravnanja v DUTB ,Seja,16. 1. 2020
14. redna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,15. 1. 2020
16. redna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,15. 1. 2020
15. redna seja," Odbor za kmetijstvo, gozdarstvo in prehrano ",Seja,15. 1. 2020
17. nujna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,15. 1. 2020
18. redna seja, Odbor za finance ,Seja,14. 1. 2020
11. nujna seja, Preiskovalna komisija o ugotavljanju zlorab v zadevi Franc Kangler in drugi ,Seja,14. 1. 2020
2. redna seja, Preiskovalna komisija o ugotavljanju zlorab v zadevi Franc Kangler in drugi ,Seja,14. 1. 2020
8. redna seja," Preiskovalna komisija o ugotavljanju domnevnega pranja denarja v NKBM d.d., domnevnega nezakonitega financiranja politične stranke SDS in domnevnega nezakonitega financiranja volilne kampanje SDS za predčasne volitve poslancev v Državni zbor 2018 ",Seja,13. 1. 2020
10. nujna seja, (skupna seja) Odbor za obrambo ,Seja,9. 1. 2020
7. redna seja," Preiskovalna komisija o ugotavljanju domnevnega pranja denarja v NKBM d.d., domnevnega nezakonitega financiranja politične stranke SDS in domnevnega nezakonitega financiranja volilne kampanje SDS za predčasne volitve poslancev v Državni zbor 2018 ",Seja,9. 1. 2020
16. nujna seja, (skupna seja) Odbor za zunanjo politiko ,Seja,9. 1. 2020
22. nujna seja, Odbor za zdravstvo ,Seja,20. 12. 2019
1. redna seja, Pododbor za spremljanje rakavih obolenj v Republiki Sloveniji ,Seja,18. 12. 2019
14. nujna seja, (skupna seja) Odbor za zadeve Evropske unije ,Seja,17. 12. 2019
17. nujna seja, (skupna seja) Odbor za gospodarstvo ,Seja,17. 12. 2019
24. nujna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,17. 12. 2019
6. nujna seja, Preiskovalna komisija o ugotavljanju odgovornosti nosilcev javnih funkcij na programu otroške kardiologije ter področju nabav in upravljanja z medicinsko opremo in zdravstvenim materialom ,Seja,17. 12. 2019
30. nujna seja, Odbor za finance ,Seja,13. 12. 2019
6. redna seja, Pododbor za spremljanje romske tematike ,Seja,13. 12. 2019
66. redna seja, Odbor za zadeve Evropske unije ,Seja,13. 12. 2019
9. redna seja, Komisija za odnose s Slovenci v zamejstvu in po svetu ,Seja,12. 12. 2019
6. redna seja, Komisija za poslovnik ,Seja,12. 12. 2019
9. nujna seja, (skupna korespondenčna seja) Odbor za obrambo ,Seja,12. 12. 2019
16. nujna seja," (skupna korespondenčna seja) Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,12. 12. 2019
14. redna seja, Preiskovalna komisija o ugotavljanju odgovornosti nosilcev javnih funkcij na programu otroške kardiologije ter področju nabav in upravljanja z medicinsko opremo in zdravstvenim materialom ,Seja,12. 12. 2019
17. redna seja, Mandatno-volilna komisija ,Seja,12. 12. 2019
47. redna seja, Odbor za zunanjo politiko ,Seja,11. 12. 2019
48. redna seja, Odbor za zunanjo politiko ,Seja,11. 12. 2019
14. redna seja," Odbor za kmetijstvo, gozdarstvo in prehrano ",Seja,11. 12. 2019
14. nujna seja, Komisija za nadzor javnih financ ,Seja,11. 12. 2019
13. redna seja," Odbor za kmetijstvo, gozdarstvo in prehrano ",Seja,10. 12. 2019
6. redna seja," Preiskovalna komisija o ugotavljanju domnevnega pranja denarja v NKBM d.d., domnevnega nezakonitega financiranja politične stranke SDS in domnevnega nezakonitega financiranja volilne kampanje SDS za predčasne volitve poslancev v Državni zbor 2018 ",Seja,10. 12. 2019
13. nujna seja, Odbor za zadeve Evropske unije ,Seja,10. 12. 2019
10. nujna seja, Preiskovalna komisija o ugotavljanju zlorab v zadevi Franc Kangler in drugi ,Seja,10. 12. 2019
18. redna seja, Komisija za nadzor obveščevalnih in varnostnih služb ,Seja,10. 12. 2019
20. nujna seja, Odbor za zdravstvo ,Seja,9. 12. 2019
17. nujna seja," Odbor za kmetijstvo, gozdarstvo in prehrano ",Seja,9. 12. 2019
23. nujna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,9. 12. 2019
16. nujna seja, (skupna seja) Odbor za gospodarstvo ,Seja,9. 12. 2019
29. nujna seja, (skupna seja) Odbor za finance ,Seja,9. 12. 2019
21. nujna seja, Odbor za zdravstvo ,Seja,9. 12. 2019
8. redna seja," Komisija za peticije, človekove pravice in enake možnosti ",Seja,6. 12. 2019
15. nujna seja, (skupna seja) Odbor za pravosodje ,Seja,6. 12. 2019
3. nujna seja, (skupna seja) Komisija za poslovnik ,Seja,6. 12. 2019
49. redna seja, (skupna seja) Odbor za zunanjo politiko ,Seja,6. 12. 2019
65. redna seja, (skupna seja) Odbor za zadeve Evropske unije ,Seja,6. 12. 2019
7. redna seja, Odbor za obrambo ,Seja,4. 12. 2019
34. nujna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,4. 12. 2019
13. redna seja," Odbor za notranje zadeve, javno upravo in lokalno samoupravo ",Seja,3. 12. 2019
9. nujna seja, Preiskovalna komisija o ugotavljanju zlorab v zadevi Franc Kangler in drugi ,Seja,3. 12. 2019
8. nujna seja, Preiskovalna komisija o ugotavljanju zlorab v zadevi Franc Kangler in drugi ,Seja,3. 12. 2019
28. nujna seja, Odbor za finance ,Seja,2. 12. 2019
5. redna seja, Komisija za poslovnik ,Seja,29. 11. 2019
64. redna seja, Odbor za zadeve Evropske unije ,Seja,29. 11. 2019
6. redna seja, Komisija za narodni skupnosti ,Seja,28. 11. 2019
15. redna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,28. 11. 2019
17. redna seja, Odbor za finance ,Seja,28. 11. 2019
26. nujna seja, Odbor za finance ,Seja,27. 11. 2019
10. nujna seja, Mandatno-volilna komisija ,Seja,26. 11. 2019
16. nujna seja," (skupna seja) Odbor za kmetijstvo, gozdarstvo in prehrano ",Seja,25. 11. 2019
7. redna seja, Preiskovalna komisija o ugotavljanju zlorab in negospodarnega ravnanja v DUTB ,Seja,25. 11. 2019
8. nujna seja, Preiskovalna komisija o ugotavljanju zlorab in negospodarnega ravnanja v DUTB ,Seja,25. 11. 2019
15. nujna seja, (skupna seja) Odbor za gospodarstvo ,Seja,25. 11. 2019
33. nujna seja," Odbor za delo, družino, socialne zadeve in invalide ",Seja,25. 11. 2019
63. redna seja, Odbor za zadeve Evropske unije ,Seja,22. 11. 2019
27. nujna seja, Odbor za finance ,Seja,21. 11. 2019
5. redna seja," Preiskovalna komisija o ugotavljanju domnevnega pranja denarja v NKBM d.d., domnevnega nezakonitega financiranja politične stranke SDS in domnevnega nezakonitega financiranja volilne kampanje SDS za predčasne volitve poslancev v Državni zbor 2018 ",Seja,20. 11. 2019
12. nujna seja, Odbor za zadeve Evropske unije ,Seja,20. 11. 2019
14. nujna seja, (skupna seja) Odbor za pravosodje ,Seja,18. 11. 2019
2. nujna seja, (skupna seja) Komisija za poslovnik ,Seja,18. 11. 2019
6. nujna seja, Preiskovalna komisija o ugotavljanju zlorab v zadevi Franc Kangler in drugi ,Seja,18. 11. 2019
10. redna seja," Odbor za izobraževanje, znanost, šport in mladino ",Seja,15. 11. 2019
46. redna seja, (skupna seja) Odbor za zunanjo politiko ,Seja,15. 11. 2019
62. redna seja, (skupna seja) Odbor za zadeve Evropske unije ,Seja,15. 11. 2019
25. nujna seja, Odbor za finance ,Seja,15. 11. 2019
22. nujna seja," Odbor za infrastrukturo, okolje in prostor ",Seja,15. 11. 2019
7. nujna seja, Preiskovalna komisija o ugotavljanju zlorab v zadevi Franc Kangler in drugi ,Seja,14. 11. 2019
13. redna seja, Preiskovalna komisija o ugotavljanju odgovornosti nosilcev javnih funkcij na programu otroške kardiologije ter področju nabav in upravljanja z medicinsko opremo in zdravstvenim materialom ,Seja,14. 11. 2019
24. nujna seja, (skupna seja) Odbor za finance ,Seja,14. 11. 2019
21. nujna seja," (skupna seja) Odbor za infrastrukturo, okolje in prostor ",Seja,14. 11. 2019
1. redna seja, Preiskovalna komisija o ugotavljanju zlorab v zadevi Franc Kangler in drugi ,Seja,14. 11. 2019
16. redna seja, Mandatno-volilna komisija ,Seja,14. 11. 2019
12. redna seja," Odbor za kmetijstvo, gozdarstvo in prehrano ",Seja,13. 11. 2019
45. redna seja, Odbor za zunanjo politiko ,Seja,13. 11. 2019
