xml:id	count	correct_string
BorisPleskovič	7	BorisPleskovič
BorisPleškovič	1	BorisPleskovič
BorisSovič	1	BorisSovič
BorisTomažič	1	BorisTomašič
BorisŠinigoj	1	BorisŠinigoj
BorisŠtefanec	14	BorisŠtefanec
BoroŠtrumbelj	1	BoroŠtrumbelj
BorutCugelj	1	BorutCugelj
BorutFlorjančič	4	BorutFlorjančič
BorutHorvat	2	BorutHorvat
BorutMahnič	3	BorutMahnič
BorutMeh	1	BorutMeh
BorutPeterlin	2	BorutPeterlin
BorutRojc	1	BorutRojc
BorutRončević	6	BorutRončević
BorutSever	7	BorutSever
BorutSmrdel	32	BorutSmrdel
BorutŠantej	2	BorutŠantej
BorutŠtrukelj	1	BorutŠtrukelj
BoštjanBovič	1	BoštjanBovič
BoštjanHorvat	1	BoštjanHorvat
BoštjanJambrovič	6	BoštjanJambrovič
BoštjanKersnič	1	BoštjanKersnič
BoštjanKocmur	3	BoštjanKocmur
BoštjanKoražija	436	BoštjanKoražija
BoštjanKoritnik	76	BoštjanKoritnik
BoštjanKos	1	BoštjanKosec
BoštjanKozole	1	BoštjanKozole
BoštjanLindav	3	BoštjanLindav
BoštjanMočnik	2	BoštjanMočnik
BoštjanNoč	9	BoštjanNoč
BoštjanPetelinc	1	BoštjanPetelinc
BoštjanPoklukar	148	BoštjanPoklukar
BoštjanRigler	6	BoštjanRigler
BoštjanUdovič	4	BoštjanUdovič
BoštjanVasle	22	BoštjanVasle
BoštjanZalar	1	BoštjanZalar
BoštjanŠefic	3	BoštjanŠefic
BožidarCasar	1	BožidarCasar
BožidarPeteh	1	BožidarPeteh
BožidarRadišič	6	BožidarRadišič
BožidarRustja	2	BožidarRustja
BožoPredalič	66	BožoPredalič
BrakoGrims	1	BrankoGrims
BrakoSimonovič	1	BrankoSimonovič
BralžPavlin	2	BlažPavlin
BraneBut	5	BraneBut
BraneDobnikar	2	BraneDobnikar
BraneGolubović	77	BraneGolubović
BraneGoluboviću	1	BraneGolubović
BraneGolubovič	4	BraneGolubović
BraneGrad	2	BraneGrad
BraneKumer	1	BrankoKumer
BranimirRajić	3	BranimirRajić
BranimirŠtrukelj	51	BranimirŠtrukelj
BranimirŠtukelj	1	BranimirŠtrukelj
BranisalvRajić	1	BranislavRajić
BranislaRajić	1	BranislavRajić
BranislavRajić	1478	BranislavRajić
BranislavRajič	7	BranislavRajić
BrankaGlojnarič	11	BrankaGlojnarič
BrankaKalenićRamšak	2	BrankaKalenićRamšak
BrankaKaliničRamšak	1	BrankaKalenićRamšak
BrankaKnafelc	2	BrankaKnafelc
BrankaKrištof	2	BrankaKrištof
BrankaVidetič	2	BrankaVidetič
BrankicaPetković	2	BrankicaPetković
BrankoAndrejašič	1	BrankoAndrejašič
BrankoBregar	4	BrankoBregar
BrankoBrims	1	BrankoGrims
BrankoGornjec	1	BrankoGornjec
BrankoGrimms	1	BrankoGrims
BrankoGrims	2452	BrankoGrims
BrankoGrimsu	1	BrankoGrims
BrankoGris	1	BrankoGrims
BrankoJezovšek	1	BrankoJezovšek
BrankoKrištof	1	BrankaKrištof
BrankoKumer	1	BrankoKumer
BrankoLobnik	1	BrankoLobnikar
BrankoLobnikar	1	BrankoLobnikar
BrankoMeh	9	BrankoMeh
BrankoPetovar	1	BrankoPetovar
BrankoRajić	12	BrankoRajić
BrankoRavnik	24	BrankoRavnik
BrankoRavnikar	2	BrankoRavnik
BrankoSečnikar	2	BrankoSečnikar
BrankoSimnovič	1	BrankoSimonovič
BrankoSimonović	6	BrankoSimonovič
BrankoSimonovič	100	BrankoSimonovič
BrankoStarović	1	BrankoStarović
BrankoTomažič	18	BrankoTomažič
BrankoVidič	1	BrankoVidič
BrankoZakotnik	5	BrankoZakotnik
BrankoZavršan	1	BrankoZavršan
BrankoZorman	1	BrankoZorman
BrankoŠumenjak	8	BrankoŠumenjak
BransilavRajić	2	BranislavRajić
BraslavBrajić	1	BranislavRajić
BredaBožnik	55	BredaBožnik
BredaHrovatin	1	BredaHrovatin
BredaKrašna	9	BredaKrašna
BredaKutin	5	BredaKutin
BredaČinčJuhant	1	BredaČinčJuhant
BredaČrnčec	2	BredaČrnčec
BrglezMilan	1	MilanBrglez
BrigitaJamnik	1	BrigitaJamnik
BrigitaKosi	2	BrigitaKosi
BrigitaSkelaSavič	4	BrigitaSkelaSavič
BrigitaZupančič	2	BrigitaZupančič
BrinaSotenšek	1	BrinaSotenšek
BronkaStraus	4	BronkaStraus
BrunoDujič	2	BrunoDujič
BrunoGabršek	1	BrunoGabršek
BrunoKomac	1	BrunoKomac
Bučar	1	NatašaBučar
CarloCampanile	4	CarloCampanile
CarmenRajer	1	CarmenRajer
CeneGrčar	1	CeneGrčar
CirilBašković	1	CirilBaškovič
CirilBaškovič	5	CirilBaškovič
CirilRibičič	4	CirilRibičič
CvetkoZupančič	10	CvetoZupančič
CvetoUršič	116	CvetoUršič
CvetoZupančič	10	CvetkoZupančič
DamijanFlorjančič	19	DamijanFlorjančič
DamijanJagodic	1	DamijanJagodic
DamijanJaklin	10	DamijanJaklin
DamijanUranker	1	DamijanUranker
DamijanaMlakar	1	DamjanaMlakar
DamijanŠtefanc	6	DamijanŠtefanc
DamirDomjan	8	DamirDomjan
DamirFelak	1	DamirFelak
DamirOrehovec	72	DamirOrehovec
DamjanBelič	2	DamjanBelič
DamjanBergant	2	DamjanBergant
DamjanBradač	2	DamjanBradač
DamjanDamjanovič	2	DamjanDamjanovič
DamjanFlorjančič	1	DamijanFlorjančič
DamjanHorvat	5	DamjanHorvat
DamjanJaklin	2	DamijanJaklin
DamjanMedved	1	DamjanMedved
DamjanOmerzu	1	DamjanOmerzu
DamjanOražem	5	DamjanOražem
DamjanOsredkar	1	DamjanOsredkar
DamjanPrelovšek	1	DamjanPrelovšek
DamjanStanonik	15	DamjanStanonik
DamjanTopolko	1	DamjanTopolko
DamjanTušar	2	DamjanTušar
DamjanUrankar	1	DamijanUranker
DamjanVolf	2	DamjanVolf
DamjanaAjd	1	DamjanaAjd
DamjanaIglič	1	DamjanaIglič
DamjanaMlakar	11	DamjanaMlakar
DamjanaŠarčević	1	DamjanaŠarčević
DamjanŠkrk	2	DamjanŠkrk
DaneKastelic	13	DaneKastelic
DanielAvdagič	1	DanielAvdagič
DanielJug	2	DanielJug
DanielaDimić	3	DanielaDimić
DanielaDimič	1	DanielaDimić
DanijelHočevar	3	DanijelHočevar
DanijelKastelic	32	DanijelKastelic
DanijelKrivec	107	DanijelKrivec
DanijelKrivic	1	DanijelKrivec
DanijelLamperger	1	DanijelLamperger
DanijelLorbek	3	DanijelLorbek
DanijelVrbnjak	1	DanijelVrbnjak
DanijelaMakovecRadovan	2	DanijelaMakovecRadovan
DanijelaMrharPrelić	5	DanijelaMrharPrelić
DanijelŽibret	2	DanijelŽibret
DaniloAntonRanc	2	DaniloAntonRanc
DaniloDolenc	1	DaniloDolenc
DaniloKacijan	1	DaniloKacijan
DaniloMeolic	1	DaniloMeolic
DaniloRošker	1	DaniloRošker
DaniloTomšič	5	DaniloTomšič
DarijKarajčič	11	DarijKrajčič
DarijKarjčič	3	DarijKrajčič
DarijKrajiči	1	DarijKrajčič
DarijKrajčič	870	DarijKrajčič
DarjaDerganc	1	DarjaDerganc
DarjaFigel	2	DarjaFigel
DarjaGroznik	1	DarjaGroznik
DarjaKocjan	12	DarjaKocjan
DarjaKuzmaničKorva	6	DarjaKuzmaničKorva
DarjaMajkovič	1	DarjaMajkovič
DarjaMatjašec	2	DarjaMatjašec
DarjaOgrič	1	DarjaOgrič
DarjaPotočnikBenčič	3	DarjaPotočnikBenčič
DarjaŠlibar	12	DarjaŠlibar
DarjoFelda	1	DarjoFelda
DarkoBut	11	DarkoBut
DarkoKovačič	4	DarkoKovačič
DarkoMuženič	4	DarkoMuženič
DarkoRudaš	5	DarkoRudaš
DarkoRudež	2	DarkoRudaš
DarkoStare	13	DarkoStare
DarkoTrajanov	6	DarkoTrajanov
DarkoZevnik	1	DarkoZevnik
DarkoZupan	1	DarkoZupanc
DarkoZupanc	1	DarkoZupanc
DavidBrozina	16	DavidBrozina
DavidKlarič	8	DavidKlarič
DavidLapornik	1	DavidLapornik
DavidNeubauer	2	DavidNeubauer
DavidPolutnik	2	DavidPolutnik
DavidRunco	1	DavidRunco
DavidŠkabar	1	DavidŠkabar
DavidŠvarc	1	DavidŠvarc
DavorPeršič	1	DavorPeršič
DavorinKračun	59	DavorinKračun
DavorinPočivašek	1	DavorinPočivašek
DavorinTerčon	2	DavorinTerčon
DejanCrnek	7	DejanCrnek
DejanHaloh	1	DejanKaloh
DejanJefim	3	DejanJefim
DejanJelovac	1	DejanJelovac
DejanJurkovič	7	DejanJurkovič
DejanKaisersberger	1	DejanKaisersberger
DejanKaloh	259	DejanKaloh
DejanKing	1	DejanKink
DejanKink	1	DejanKink
DejanMatijevič	2	DejanMatijevič
DejanOgrinec	2	DejanOgrinec
DejanPrebil	1	DejanPrebil
DejanPrešiček	9	DejanPrešiček
DejanSrnek	1	DejanCrnek
DejanValentinčič	17	DejanValentinčič
DejanŠiško	2	DušanŠiško
DejanŽidan	783	DejanŽidan
DenisMiklavčič	3	DenisMiklavčič
DenisSahernik	8	DenisSahernik
DenisŽitnik	1	DenisŽitnik
DianaKos	9	DijanaKos
DijanaKos	5	DijanaKos
DimicIva	1	DimicIva
DimitrijPur	2	DimitrijPur
DimitrijZadel	1	DimitrijZadel
DinoBavk	1	DinoBavk
DobranBožič	149	DobranBožič
DoloresKores	1	DoloresKores
Dolčič	1	ToneDolčič
DomenBogdan	2	DomenBogdan
DomenSavič	6	DomenSavič
DominikMrvar	5	DominikMrvar
DominikaŠvarcPipan	38	DominikaŠvarcPipan
DoricaPetrič	1	DoricaPetrič
DorijanKrajčič	1	DorijanKrajčič
DorotejaNovakGosarič	1	DorotejaNovakGosarič
DrAnžeLogar	1	AnžeLogar
DragaGelt	2	DragaGelt
DraganMatić	1	DraganMatić
DraganPetrovec	9	DraganPetrovec
DraganPetroveč	1	DraganPetrovec
DraganaŽunić	3	DraganaŽunić
DragicaIskrenovič	1	DragicaIskrenovič
DragicaKekec	2	DragicaKekec
DragoBabič	2	DragoBabič
DragoBokal	3	DragoBokal
DragoKoprčina	1	DragoKoprčina
DragoVogrinčič	1	DragoVogrinčič
DragomirMikelić	1	DragomirMikelić
DragoŠketa	33	DragoŠketa
DrancTrček	1	FrancTrček
DraženLevojević	1	DraženLevojević
DržavniSekretar	1	DamirOrehovec
DušaHladeZore	1	DušaHladeZore
DušanBrejc	3	DušanBrejc
DušanDovč	1	DušanDovč
DušanJošar	1	DušanJošar
DušanKeber	10	DušanKeber
DušanKumer	1	DušanKumer
DušanMerc	2	DušanMerc
DušanMes	2	DušanMes
DušanMikuš	2	DušanMikuž
DušanMikuž	9	DušanMikuž
DušanNolimal	1	DušanNolimal
DušanOrban	1	DušanOrban
DušanPlut	2	DušanPlut
DušanSterle	16	DušanSterle
DušanStrnad	13	DušanStrnad
DušanVebrič	1	DušanVerbič
DušanVerbič	333	DušanVerbič
DušanVučko	12	DušanVučko
DušanZore	2	DušanZore
DušanZorko	6	DušanZorko
DušanZupančič	1	DušanZupančič
DušanŠiško	452	DušanŠiško
DuškaGodina	37	DuškaGodina
DuškoSmajek	4	DuškoSmajek
DuškoSmajh	3	DuškoSmajek
EdoOblak	2	EdoOblak
EdvadPaulič	1	EdvardPaulič
EdvarPaulič	4	EdvardPaulič
EdvardClug	1	EdwardClug
EdvardPaulič	1855	EdvardPaulič
EdvardPaušič	1	EdvardPaulič
EdvardPavlič	40	EdvardPaulič
EdvardPlaulič	2	EdvardPaulič
EdvardPulič	5	EdvardPaulič
